,0
384,"10Klay Thompson, SGGolden State Warriors$35,361,360"
385,"12Jimmy Butler, SFMiami Heat$34,379,100"
386,"14Kemba Walker, PGBoston Celtics$34,379,100"
387,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
388,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
389,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
390,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
391,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
392,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
393,"28Devin Booker, SGPhoenix Suns$29,467,800"
394,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
395,"32Bradley Beal, SGWashington Wizards$28,751,775"
396,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
397,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
398,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
399,"40Al Horford, COklahoma City Thunder$27,500,000"
400,"1Stephen Curry, PGGolden State Warriors$43,006,362"
401,"3Chris Paul, PGPhoenix Suns$41,358,814"
402,"5John Wall, PGHouston Rockets$41,254,920"
403,"7LeBron James, SFLos Angeles Lakers$39,219,565"
404,"9Paul George, SGLA Clippers$35,450,412"
405,"11Mike Conley, PGUtah Jazz$34,502,130"
406,"13Kawhi Leonard, SFLA Clippers$34,379,100"
407,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
408,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
409,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
410,"21Pascal Siakam, PFToronto Raptors$30,559,200"
411,"23Kyle Lowry, PGToronto Raptors$30,500,000"
412,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
413,"27Nikola Jokic, CDenver Nuggets$29,542,010"
414,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
415,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
416,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
417,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
418,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
419,"39Rudy Gobert, CUtah Jazz$27,525,281"
420,"2Russell Westbrook, PGWashington Wizards$41,358,814"
421,"4James Harden, SGBrooklyn Nets$41,254,920"
422,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
423,"8Blake Griffin, PFDetroit Pistons$36,810,996"
424,"10Klay Thompson, SGGolden State Warriors$35,361,360"
425,"12Jimmy Butler, SFMiami Heat$34,379,100"
426,"14Kemba Walker, PGBoston Celtics$34,379,100"
427,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
428,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
429,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
430,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
431,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
432,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
433,"28Devin Booker, SGPhoenix Suns$29,467,800"
434,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
435,"32Bradley Beal, SGWashington Wizards$28,751,775"
